filename,duration,rms_mean,rms_std,rms_max,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,pitch_mean,pitch_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,mel_spectrogram_mean,mel_spectrogram_std,VideoNumber
1+90 Years Crafting.mp3,32.29997732426304,0.067268446,0.042546842,0.18602297,0.067579668972332,0.0837626686384262,3061.162957733324,2014.2177224788395,3452.305986956861,1120.557865306205,336.8176078656224,642.1465613923383,-288.92194,115.187386,116.940765,49.277863,6.159879,21.29688,37.727802,25.437212,-9.8742485,22.486431,30.728157,19.648829,-14.988718,19.009882,21.157314,14.548176,-5.902039,13.775891,4.935737,10.92394,-2.6738951,10.67341,-7.5569725,10.787504,-5.2360125,7.9632535,0.3558277,0.30637157,0.3991743,0.2824786,0.47745064,0.35447592,0.4520337,0.31568432,0.4152118,0.29746848,0.41678756,0.32091376,0.4271597,0.3055459,0.4581462,0.35104486,0.384537,0.30777925,0.33507076,0.30560875,0.30320883,0.25644642,0.36638582,0.31170788,1.1612045,9.8242035,1
10+Aptamil Advert 2021.mp3,30.14,0.07457319,0.049417533,0.25979963,0.0659281216908933,0.0953490706552119,2523.259213819741,1908.0659548960016,3028.894411862509,929.7490377668328,300.0368859531978,543.6202164657403,-278.3006,92.43535,139.34888,46.962032,6.127687,26.335484,30.976759,24.426815,-4.9377217,18.388393,15.759973,17.852818,-12.733671,15.782915,11.934915,12.316675,-6.227478,11.118998,-1.6793562,12.303106,-5.6266,10.035061,-3.9180567,8.089227,-5.7886953,8.002109,0.3131481,0.29671016,0.3421187,0.28857082,0.44135535,0.3411642,0.39478844,0.30612364,0.3953828,0.32398373,0.38104537,0.3061014,0.41779855,0.31636485,0.40509492,0.3286336,0.38589153,0.2885871,0.5120177,0.36461782,0.40899497,0.28638577,0.35300273,0.3110841,1.5111607,14.201858,10
100+Vintage Carnation infant formula commercial. #vintage #retro #formula.mp3,68.43,0.050166745,0.053737905,0.29554507,0.0413395720684902,0.0416434353194569,1852.5333734291232,1134.4129814014975,2447.9921614002005,828.7770420286228,173.24484106578225,288.9917223424264,-344.62772,61.20978,144.68001,46.415928,9.2087145,26.257132,10.230674,22.724354,10.097979,26.227205,3.2107396,14.220582,-2.802499,13.352055,0.55486375,13.38941,-2.1494474,10.288761,-4.089101,9.803427,0.5853302,9.660994,-4.5510283,11.801836,-6.108336,9.991483,0.34230956,0.3293231,0.29490426,0.28193814,0.29372743,0.29695204,0.32952172,0.31961825,0.35069868,0.3238693,0.35458604,0.3173043,0.39554217,0.32446724,0.41322157,0.31472898,0.40211663,0.3369454,0.3891539,0.31199208,0.36309183,0.33368,0.33945632,0.30912024,1.0589842,15.446228,100
101+Welcome To Kendamil.mp3,60.3,0.063146956,0.04925597,0.26559502,0.0445946306736137,0.0554547908488492,2108.22860143347,1422.9511362101068,2701.3324965733523,943.9483093950568,295.8830303491869,495.3937581766885,-288.39764,80.83042,138.08981,36.881237,0.6669775,21.290997,29.73908,25.89818,5.393309,17.21746,15.27091,16.741302,-10.375774,13.578636,5.604162,11.858283,-2.4785962,9.590723,1.9229745,9.919012,2.9953773,9.131518,2.3323188,8.736097,0.2977251,7.804318,0.38275787,0.283794,0.35823002,0.29555917,0.35881865,0.29936302,0.44106978,0.34318167,0.43516952,0.33097008,0.4332236,0.28319559,0.545315,0.33039176,0.38472995,0.26778582,0.38831607,0.32177782,0.34805176,0.27875492,0.4293844,0.30993956,0.486598,0.3432769,1.2074012,14.360975,101
102+Welcome to the Kendamil family!.mp3,60.91,0.06559451,0.04935296,0.25270477,0.0453611140890032,0.0586132597270846,2140.9279161980858,1467.0605559183575,2743.0722377001853,944.4138876712826,309.2844974849731,521.7963155401975,-287.2296,86.53591,137.41098,39.06908,-0.3316605,21.311502,31.865976,25.447123,3.848096,17.499458,16.419819,16.263794,-10.809389,13.763659,6.8294353,11.849885,-2.8811574,9.669306,2.234073,10.095107,2.7042594,9.099832,2.0263684,8.919499,0.446842,7.7353373,0.36879706,0.28234154,0.34800845,0.29258123,0.35643053,0.3040418,0.43112433,0.34147528,0.43062362,0.33056942,0.43655294,0.28926393,0.5381663,0.33487615,0.37874955,0.27100375,0.36990082,0.31419763,0.33863553,0.2828793,0.42239377,0.30922687,0.4741914,0.34310424,1.269122,13.995131,102
104+What Now_.mp3,30.14,0.071869925,0.036049414,0.18544011,0.1015720888886214,0.0880322655606775,3940.7177254828543,1741.7091739676937,3867.639802807333,674.743616350275,265.98948511307947,415.4364555942364,-229.739,71.94371,108.28872,38.215984,-15.541754,21.896091,45.11318,25.29379,-22.012213,19.327463,36.636173,16.899174,-20.69808,16.525934,18.408195,12.965391,-8.471153,12.506395,5.5929914,12.459115,-4.6317487,13.289542,-1.4626614,12.699359,-2.9585545,10.697792,0.34529305,0.29981658,0.3852153,0.33764255,0.34758365,0.29763177,0.3348255,0.2824573,0.3865492,0.3354855,0.33678263,0.30635455,0.35189575,0.33456135,0.3098047,0.2984884,0.3553703,0.31334254,0.3974033,0.3507472,0.30639216,0.2775689,0.3596253,0.321711,1.1575707,9.3598385,104
105+Why KABRITA Goat Milk Toddler Formula.mp3,60.19,0.14866419,0.06800344,0.3437779,0.0259709121865959,0.0188554034742637,1509.0029098973705,825.0063032840388,2319.1181743861694,755.8827824117678,124.1225253240875,140.77506681954645,-241.39491,76.14224,163.9758,25.940945,4.493423,25.440199,50.381546,21.951529,2.579313,20.680574,24.027,12.876114,-2.5977356,12.182131,0.9742344,10.157236,6.365271,10.369647,-9.38279,11.15985,6.098721,9.540399,-10.98121,10.734679,1.2992135,11.322624,0.54228896,0.3335708,0.42853597,0.24660014,0.4173089,0.29526576,0.42827561,0.26187915,0.5115283,0.31371176,0.5049926,0.3182536,0.41430283,0.28841823,0.4315166,0.31441876,0.37160403,0.29124695,0.37956315,0.33311743,0.35662946,0.2590624,0.4740577,0.28808427,5.211692,31.879793,105
106+WHY MOMS LOVE SIMILAC® GAIN PLUS.mp3,33.07,0.051442776,0.02805447,0.18785675,0.0448106449083011,0.04727371330732,1992.6621385913436,1269.0354235412838,2512.4642349616533,825.4238889644251,241.61535950494016,440.7111117710264,-306.7059,59.54878,153.8982,35.476635,-5.3449664,30.320694,33.965565,22.182304,9.402893,19.66482,4.159216,19.690266,-7.9354434,14.530093,4.0232015,11.365038,-9.77883,9.882511,-2.93763,11.532364,-0.47630048,10.040955,-4.8030705,10.37757,1.7258624,7.8523655,0.32111502,0.28958976,0.22525139,0.2498476,0.20609468,0.23607786,0.29095012,0.26429474,0.40962306,0.358101,0.32383123,0.29001665,0.30462605,0.28414026,0.34042883,0.28599182,0.4737395,0.33516598,0.46003386,0.33098555,0.42855912,0.29470524,0.44129473,0.34460157,0.6445845,5.514664,106
107+Why Organic.mp3,189.13,0.110162415,0.06312925,0.30009606,0.0644656834582745,0.0793054879274713,2812.7874047154937,1765.303005407854,3206.369382620766,714.2690812973133,334.9539447050805,520.1867643911348,-216.15367,77.82747,133.28673,43.19382,-6.639811,23.920046,44.4842,26.942312,-10.110536,22.717249,28.084644,16.59017,-13.436569,15.415366,12.368313,11.879477,-5.814685,10.797807,1.4600015,11.403327,-3.1864567,10.223195,3.1126132,9.199521,3.5582132,9.361169,0.44412714,0.35847375,0.39831328,0.3144431,0.347703,0.28243136,0.35683575,0.27830136,0.4167982,0.29172593,0.5807079,0.35245585,0.5220388,0.29379222,0.47806755,0.31276459,0.4163708,0.27727994,0.41215208,0.30852687,0.3795759,0.29831833,0.34954235,0.29002643,2.9227595,23.04258,107
108+Why Similac® formulas with 2’-FL HMO are palm olein oil-free.mp3,26.01,0.046295755,0.031104144,0.16397297,0.061689901968987,0.084391341147388,2318.5434258013725,2018.7452540818176,2566.7999400082904,1131.0980332056272,198.9248014382427,405.272933463972,-334.2887,93.34262,145.22136,53.1481,8.744521,29.62888,12.186066,30.34264,-11.786169,22.570797,19.558483,18.723778,-16.434324,18.06831,6.871592,16.721684,-9.504572,10.5261345,-7.116383,9.729382,-5.804754,12.095162,-13.516589,11.606168,-7.255855,9.776048,0.6653565,0.37983784,0.40478364,0.24498087,0.28298944,0.28860694,0.23010056,0.24541439,0.27216223,0.2825956,0.29548886,0.32229358,0.2900964,0.2827289,0.3712947,0.32069898,0.2666433,0.24632563,0.23006496,0.2737187,0.21526143,0.25003594,0.32431388,0.22646359,0.5738361,5.7552385,108
109+Wyeth Lutein Launch 30' tvc.mp4.mp3,30.02,0.07911902,0.035683323,0.16161142,0.0734814188780935,0.0635989565288468,2539.3566453175235,1263.739168199804,2492.3556037121725,620.989337317208,269.3721004456652,547.2572068779601,-245.22356,85.3783,169.57181,41.16124,-48.74361,30.109333,62.006657,26.525202,-13.293678,20.04481,7.8843827,15.8755245,9.946228,14.025994,-15.52418,13.685843,15.305332,12.784467,-19.572216,10.862094,2.118803,9.136946,-1.1198369,9.20068,-14.019842,9.032038,0.43047023,0.28976542,0.43064725,0.2985588,0.39385277,0.28029093,0.42322958,0.2932327,0.47067073,0.3300228,0.41168454,0.3011699,0.40857574,0.29987094,0.4102037,0.301967,0.4306032,0.30727842,0.42796728,0.31846732,0.42054147,0.29986697,0.44738245,0.29866675,1.3595009,8.381273,109
11+Aptamil Follow On milks – Raise them Ready.mp3,30.07,0.038430672,0.02662618,0.119922385,0.067221496888267,0.080783715763334,2704.5853175751986,1823.0498999100216,3095.987417477587,848.7579584842537,273.2808111244748,520.0513586051437,-324.54184,92.03489,131.05914,46.642033,-7.1397595,27.787268,44.69886,26.490662,2.8815763,19.113785,24.585487,18.43281,-3.024331,12.905339,12.630435,12.853289,-9.985053,12.323003,5.37685,11.240298,-9.213897,9.126989,-8.059964,9.868909,-4.173429,9.877937,0.3938875,0.3087153,0.39308587,0.25916368,0.48621175,0.33629847,0.45018178,0.2903189,0.49072284,0.30549294,0.4742602,0.30545017,0.38504383,0.28919587,0.34835783,0.28593224,0.4070569,0.27921703,0.5194401,0.32715324,0.4391933,0.2960877,0.37063375,0.25490427,0.40534416,3.6620646,11
110-2001 Nestle Carnation Baby Formula Commercial - Aired April 2001.mp3,37.83,0.016823616,0.012724414,0.05799178,0.0640067948853175,0.0485104081637745,2613.517967689188,1297.4684386547565,3128.734694809252,947.0123296383448,200.95027384767351,395.20466044157257,-398.7062,68.40159,146.85538,38.96001,-13.691232,27.652542,23.570944,17.41312,0.4066982,15.638928,15.064163,11.751683,-17.89465,12.496694,12.165113,8.589908,-9.640823,8.362336,-3.9244337,8.985803,-3.4136639,8.351787,-5.996062,7.8060937,-3.9620898,7.727876,0.3889466,0.28079033,0.4574772,0.36115837,0.3615974,0.28604388,0.3726671,0.26678184,0.49525878,0.34723166,0.38174212,0.3017925,0.31388405,0.2851458,0.31534806,0.28660983,0.3594979,0.27936044,0.42186797,0.31525606,0.3714555,0.29051048,0.39101136,0.30431604,0.08362002,0.83393604,110
111-2002 Good Start Formula Commercial.mp3,30.120249433106576,0.07010627,0.030595625,0.1603169,0.0519570764089595,0.0597439652126387,2304.644212320341,1286.6345922456342,3102.455095931251,529.031838413247,247.9853655622352,415.9943609933336,-258.54022,62.5749,149.75008,32.338314,-3.9591808,26.541538,37.610184,23.619473,-0.981854,19.45729,22.510208,11.951203,-7.8492436,11.665306,11.300231,9.809083,-6.523259,9.40458,4.029218,10.1037855,-4.2633567,9.143002,-0.32771546,8.124178,-5.6128206,7.9292254,0.33437514,0.3034392,0.30985692,0.26485372,0.36023825,0.3040677,0.3927797,0.30532667,0.4959908,0.35114342,0.45676255,0.30648422,0.4259934,0.27730247,0.51467055,0.35486123,0.39885527,0.2857983,0.34315103,0.31142345,0.30614495,0.27377912,0.3145025,0.27402818,1.0589783,8.593808,111
"112-Bobbie Launches First Organic, European-Style Infant Formula in the U.S..mp3",48.86,0.013241258,0.030325113,0.18831296,0.0567374923898194,0.0326235770766616,3554.926411028561,1225.7330424642507,4100.156333699403,1053.9468042026988,1159.9992486560652,908.5152982436168,-477.08286,78.78126,82.349,44.849503,21.590925,28.464853,22.698227,16.592678,7.8263707,12.9223795,19.304268,16.242605,10.808249,10.5362425,7.8395476,11.517331,9.734154,10.170595,1.4461403,8.232633,10.778666,9.590244,8.294757,8.12332,-4.395248,8.176595,0.7443174,0.3142501,0.738758,0.28446454,0.73389095,0.2473762,0.7259737,0.23891725,0.62295055,0.24487415,0.54114693,0.262996,0.47429815,0.24467614,0.4709535,0.22971322,0.52304107,0.2391862,0.60653704,0.2640868,0.6666887,0.26631823,0.71667904,0.28857857,0.21512961,5.7933393,112
114-Carnation Follow Up Formula Commercial (1995).mp3,29.98,0.043729454,0.016994309,0.094391674,0.0610480107312233,0.0252077574972384,2042.7799568848104,584.0153676137872,2186.249266549796,442.6357135782479,154.6044310485695,190.75769981577943,-300.95667,49.019566,176.167,26.542835,-51.245403,29.542799,22.769138,18.20774,1.2295074,15.856399,-6.1808424,17.61996,-12.403218,16.37264,6.6299505,10.655467,-9.052706,12.291733,2.438637,10.227364,-12.073859,9.630145,2.0625753,9.840214,-3.8453069,10.279592,0.19331792,0.1993376,0.2594296,0.3110461,0.19217114,0.2073401,0.24747802,0.29605326,0.237199,0.262563,0.29157382,0.2807777,0.3698405,0.36247098,0.2951941,0.26975545,0.38492364,0.36329713,0.3193855,0.27195114,0.37926358,0.35414845,0.286543,0.31184357,0.35854092,1.7799971,114
115-Enfamil commercial 2010 Gina Santoriello.mp3,30.16,0.059526157,0.02740572,0.15660173,0.0514061673041762,0.0565999912561833,2479.691821182034,1473.8753491285006,2951.9343606209245,870.6487121675004,303.11905650550085,510.61491155265696,-279.06442,83.916,144.16295,40.234306,-5.926592,28.23921,40.957058,27.573818,-9.433182,22.236305,21.925152,15.919616,-10.576621,19.405928,7.115253,12.564446,-3.282053,12.7841425,2.4491017,11.079767,5.3834043,10.279086,-1.2078475,9.501887,-2.6376276,8.039729,0.3636026,0.28892443,0.39855516,0.30250365,0.45074046,0.34493446,0.37016863,0.29249534,0.35050514,0.29231393,0.35712525,0.30326188,0.38862443,0.29842958,0.4460876,0.3278962,0.47790265,0.25594485,0.6477085,0.33291608,0.51667327,0.2841845,0.37745515,0.2745536,0.7965363,6.5763063,115
116-Enfamil® PREMIUM™ Infant Formula.mp3,46.58,0.084278755,0.06674542,0.40098584,0.0378405192888736,0.0308369437309884,1311.867094433967,736.8961183650782,1268.1164045816056,431.04499760312206,218.38798647887592,415.92702630814256,-295.98618,67.080086,176.24535,31.230534,-5.032654,48.484577,19.227478,25.956572,27.135462,22.185816,-21.115818,21.184011,0.13549235,12.702149,12.807639,12.75957,-11.871562,12.279441,-1.0636238,11.245573,3.7295566,9.643422,-11.735981,12.15214,-0.7356249,9.399688,0.35252598,0.29078028,0.40301934,0.31460813,0.44963178,0.35931093,0.33864024,0.29425496,0.2603319,0.26485872,0.23444594,0.23792687,0.30131087,0.3108586,0.31732374,0.31339592,0.30807248,0.30463377,0.31510046,0.31685087,0.3181812,0.28971657,0.38020024,0.3362465,2.0872865,23.603683,116
117-Gerber Baby Food Commercial - 1970s.mp3,30.23,0.08339253,0.03225958,0.17804796,0.0478271859399001,0.0172529601969413,1803.368442072788,352.2656749191974,2072.801328015207,234.63488211063367,120.63215060565118,148.43028233371666,-199.26677,27.20295,193.67946,17.368248,-58.101826,10.829717,17.526016,7.637383,-2.202181,7.5896587,6.3117366,7.0224795,-4.346841,5.6169705,0.061908495,5.4986796,-4.4654317,5.5798893,0.2979759,5.4460206,-2.7793746,5.2758927,-0.86530995,5.2913775,-7.825703,5.29525,0.39414546,0.29146072,0.3981238,0.28940272,0.4027635,0.28809103,0.42101133,0.27366623,0.47651523,0.31824404,0.4211408,0.27193978,0.44259995,0.31317914,0.4199254,0.2869053,0.5137923,0.2975171,0.5878162,0.34141555,0.4446006,0.27732873,0.44341487,0.3122879,1.4678115,8.331249,117
118-SMA FORMULA FOR INFANTS COMMERCIAL 1960.mp3,58.93,0.08209769,0.062044956,0.28224477,0.0347699344956658,0.0308916215347475,1622.571265645348,862.867058296383,2392.901111588321,770.9044394584732,200.73003363213024,423.78287162269135,-287.82654,41.929554,170.93787,38.21284,-5.043583,22.086794,18.154945,16.170994,23.307886,18.389507,6.2742257,14.567991,6.702512,10.153993,1.8698335,9.673843,-1.4293078,10.297638,6.555841,8.511286,1.3884647,7.514904,6.829523,7.8277564,-3.1780877,8.619102,0.51693326,0.31915522,0.4102461,0.26564193,0.40946835,0.28416732,0.3994034,0.28421974,0.45982242,0.28872526,0.4447382,0.30765226,0.4126803,0.24797039,0.5493258,0.32978728,0.4821637,0.28106174,0.5004585,0.34123504,0.45937756,0.29074478,0.50819725,0.297994,2.0712805,18.705463,118
119-VINTAGE 1958 PET EVAPORATED MILK COMMERCIAL - CUTE BABIES.mp3,58.45,0.048806414,0.03087989,0.15774287,0.0336851996958788,0.021835201745787,1380.853342212086,525.3364080622731,1634.023818410188,281.7798452623841,207.22130050992416,358.4613122260213,-317.24393,66.9522,189.36641,26.304539,-23.29883,35.051537,27.16793,17.140856,13.856379,15.832284,4.5457087,14.085395,-3.6107125,10.199469,-7.098699,10.022356,6.5865006,10.194732,-10.072086,8.874261,-1.2228264,8.782198,-3.703841,8.257379,-9.068547,8.440129,0.5079336,0.33383042,0.4520808,0.28411567,0.40083736,0.27621925,0.39848018,0.3279865,0.38213405,0.272153,0.44507506,0.3043508,0.38430756,0.27343857,0.3416761,0.26502663,0.390539,0.27555686,0.49070966,0.31963804,0.54500383,0.31204402,0.47862133,0.2858523,0.6087089,4.1555233,119
12+Aptamil Follow On Milks (1).mp3,30.07,0.037068646,0.023485355,0.16574454,0.0744852222838672,0.0842955860885698,2974.785458936655,1820.36290514676,3171.718820213,865.0159771464329,275.169633287587,497.9011073923229,-318.07474,96.77202,129.70369,45.1829,-11.108012,28.632113,39.23351,26.708344,-11.982882,22.188564,23.554619,17.245728,-15.7758045,16.743835,12.073293,13.949716,-6.8035197,11.263402,0.5545944,13.029456,-6.2923527,10.256131,-2.993436,10.916394,-7.1750298,10.792045,0.40309265,0.34909117,0.37288857,0.26967663,0.44715217,0.35277417,0.37926945,0.28607213,0.43995818,0.3375366,0.4123927,0.32883105,0.30757883,0.27079195,0.2865572,0.27674606,0.32653335,0.27284724,0.44374165,0.3431166,0.378609,0.30823892,0.3517258,0.27860737,0.33504733,2.722728,12
120-What you didn't know about ingredients in formula _ Ad Content for Enfamil.mp3,34.85,0.10582024,0.060581684,0.24833772,0.0235983628102098,0.0348997213730469,1159.3729899509765,1220.4383796279403,1830.462609925877,1226.6388238477966,204.65672896608356,344.7362873325063,-351.86517,86.7672,170.34004,62.31348,39.651924,25.834822,7.3222456,18.075222,2.9706738,12.761195,22.27024,13.3083315,5.6933813,12.586352,7.2048817,13.420002,6.657823,9.430709,5.9647746,9.295164,7.7467237,9.079361,7.1478176,9.466203,6.7526064,9.59575,0.56553924,0.33889383,0.46543548,0.2688686,0.47490346,0.24981157,0.49302182,0.2176168,0.6051585,0.2690652,0.6470741,0.3209864,0.4913482,0.24003364,0.54773766,0.27182847,0.47337598,0.27248603,0.47204298,0.27336174,0.4548495,0.20247462,0.50941,0.25770384,2.9143565,28.21235,120
13+Aptamil Follow On Milks.mp3,30.07,0.03766822,0.026175104,0.14826792,0.0569964239193361,0.0660936569052445,2358.4877322557754,1691.3608464707495,2741.041154604401,1062.75276847705,224.6704607777376,426.53020016124367,-336.45538,92.06096,145.56042,45.71765,-5.73948,31.057037,23.888134,25.537397,-4.7491174,20.455395,18.496677,16.579868,-12.785405,16.272362,10.929963,15.112503,-7.1411295,11.727585,-0.08757026,12.601943,-4.621222,10.570298,-6.411881,10.204983,-7.2744203,9.980421,0.3665794,0.34285986,0.32860056,0.27720898,0.4084427,0.34693134,0.36345902,0.2875966,0.41597983,0.3324099,0.43537217,0.3301952,0.30877882,0.274076,0.26156878,0.28299177,0.26851997,0.24754047,0.4165563,0.34369797,0.406068,0.32292733,0.3395952,0.28036994,0.3916248,3.5160651,13
"14+Aptamil Toddler Milk, with Vitamin D.mp3",30.09,0.09567208,0.06101857,0.28940228,0.0683761408299575,0.0788612465074387,3073.2605797454994,1791.566768515303,3418.235212155412,828.5429664134958,353.6994789849378,588.8653765005347,-245.92989,88.99352,110.802155,45.133766,-5.1644883,21.500654,52.81209,24.916286,-2.5441225,19.92811,28.409445,16.482805,-10.879149,16.00287,12.344574,11.850001,-5.4381247,12.439349,2.8192225,12.225282,-9.95489,10.521046,-5.065508,8.856369,-4.8690486,8.475804,0.42537916,0.33801654,0.36544326,0.29778472,0.3353313,0.28989032,0.36756533,0.32686633,0.41764727,0.32259947,0.43467176,0.33578974,0.38383117,0.29160404,0.42332947,0.34427056,0.40472525,0.3275766,0.38883582,0.3297779,0.40877816,0.33094305,0.41721457,0.3330192,2.4470434,22.23043,14
15+Aptamil TV Commercial July 2019.mp3,29.95,0.051805317,0.029548503,0.12606522,0.0444807185683139,0.0506360566108051,1867.7225796459084,1154.3250308243048,2243.5527155252757,656.7618086300714,181.1660891400563,333.0406393191897,-305.99408,72.89375,172.25026,34.99698,-21.232927,22.978878,44.9108,16.382914,-5.095304,19.219536,9.618665,13.303392,-4.829313,11.989595,-12.124371,9.970418,3.022868,8.328369,-13.413653,9.126403,0.44763133,9.111477,-9.427638,9.36384,-4.6775303,7.9431705,0.33007485,0.2800714,0.41102663,0.34874144,0.3152237,0.2906845,0.32529283,0.30958655,0.32041252,0.2877394,0.39589942,0.28918332,0.4854241,0.33429098,0.33776072,0.25773874,0.31800228,0.27727902,0.4009441,0.27145597,0.52653706,0.36801413,0.3595282,0.266485,0.68543935,4.962417,15
16+Aptamil® Organic Follow On Milk.mp3,15.07,0.04187229,0.022671603,0.11123087,0.0550179074047344,0.0778783606121786,2682.6390388471887,1893.3174658891696,3468.386846405128,898.5656514264368,335.6144716271538,563.1377932945367,-332.10538,78.08861,135.48547,44.11096,10.629891,23.998468,42.94289,26.795559,0.11729651,20.438251,20.931194,16.74496,-13.00278,16.35058,18.871586,13.282468,-8.960509,12.936301,9.806764,12.891056,-9.35431,11.5441475,3.801152,10.173173,-5.187976,8.8066,0.37677866,0.32205227,0.4113108,0.3263407,0.45198342,0.3341333,0.4290304,0.30557406,0.4378353,0.30240405,0.46394005,0.29955015,0.5426499,0.3168294,0.5061223,0.32151946,0.41807857,0.28990728,0.48697305,0.34708476,0.44046393,0.31087202,0.38198313,0.3116756,0.42507148,3.3716874,16
